"Name und Vorname der kindergeldberechtigten Person","Фамилия и имя лица, которое имеет право на получение детского пособия"
"Kindergeld-Nr.","Номер детского пособия"
"Telefonische Rückfrage tagsüber unter Nr.:","Номер телефона, по которому можно звонить в рабочее время:"
"Bitte Hinweise beachten!","Пожалуйста, обратите внимание на указания по заполнению бланка!"
"Haushaltsbescheinigung","Справка о составе семьи, которая проживает в одном домохозяйстве"
"zur Vorlage bei der Familienkasse","для предъявления в отделение социальной службы по защите семьи (""семейную кассу"")"
"Erklärung über die Haushaltszugehörigkeit von Kindern","Предоставление сведений о детях, которые проживают в указанном домохозяйстве"
"durch Herrn/Frau","от"
"Name","Фамилия"
"Vorname","Имя"
"Geburtsdatum","Дата рождения"
"Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","Адрес (улица/площадь, номер дома, почтовый индекс, населенный пункт, страна проживания)"
"Familienstand:","Семейное положение:"
"ledig","холост / не замужем"
"seit","с (дата)"
"verheiratet","женат / замужем"
"verwitwet","вдовец / вдова"
"in Lebenspartnerschaft lebend","состою в гражданском партнерстве"
"geschieden","разведен(-а)"
"dauernd getrennt lebend","проживаю отдельно от супруга(-и) длительное время"
"Tragen Sie bitte nachstehend in der Reihenfolge der Geburten – mit dem ältesten Kind beginnend – die zu Ihrem Haushalt gehörenden Kinder ein, die Sie im Antrag auf Kindergeld/Fragebogen aufgeführt haben.","Пожалуйста, перечислите в по порядку, начиная со старшего ребенка, всех детей, которые проживают в домохозяйстве и имена которых занесены в заявление/анкету для получения детского  пособия."
"Zu meinem Haushalt unter der oben angegebenen Anschrift gehören folgende Kinder:","В моем домохозяйстве, адрес которого указан выше, проживают нижеперечисленные дети:"
"lfd. Nr.","Номер по порядку"
"Name und Vorname des Kindes","Фамилия и имя ребенка"
"geboren am","Дата рождения"
"Haushaltsaufnahme am","Стал членом домохозяйства (указать дату)"
"In Deutschland seit *)","Проживает в Германии с (указать дату) *)"
"*) Nur sofern ein Zuzug aus dem Ausland erfolgte, ist hier anzugeben, seit wann sich das Kind ununterbrochen in Deutschland aufhält.","Заполняется только в том случае, если ребенок переехал из-за рубежа. Укажите начало периода, когда ребенок непрерывно начал проживать в Германии."
"(Datum)","(дата)"
"(Unterschrift der kindergeldberechtigten Person)","(подпись лица, которое имеет право на получение детского пособия)"
"Amtliche Bescheinigung der Angaben","Официальное подтвеждение сведений"
"Es wird hiermit bescheinigt, dass die unter A genannte Person und die unter lfd. Nr. ... bis lfd. Nr. ... aufgeführten Kinder nach den hier vorhandenen Unterlagen bzw. Erkenntnissen wie angegeben gemeldet sind.","Данным подтверждается, что лицо, которое обозначено в разделе ""А"", и что дети, которые перечислены в номерном списке, зарегистрированы по месту жительства согласно предоставленным документам или сведениям."
"Bemerkungen:","Примечания:"
"Dienstsiegel oder Stempel","(Официальная) печать"
