"Name und Vorname der kindergeldberechtigten Person","نام خانوادگی و نام شخص واجد شرایط برای دریافت کمک هزینه کودک"
"Kindergeld-Nr.","شماره پرونده کمک هزینه کودک"
"Telefonische Rückfrage tagsüber unter Nr.:","شماره تلفن برای پرسش های احتمالی در طول روز."
"Bitte Hinweise beachten!","لطفا به تذکرات و توضیحات توجه کنید!"
"Haushaltsbescheinigung","گواهی ثبت تعداد افراد ساکن درخانه"
"zur Vorlage bei der Familienkasse","برای ارائه به صندوق حمایت از خانواده"
"Erklärung über die Haushaltszugehörigkeit von Kindern","تعداد کودکان ساکن در خانه را اعلام کنید."
"durch Herrn/Frau","توسط خانم/ آقای"
"Name","نام خانوادگی"
"Vorname","نام کوچک"
"Geburtsdatum","تاریخ تولد"
"Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","آدرس (خیابان/محل، پلاک، کدپستی، شهر/روستا، استان محل اقامت )"
"Familienstand:","وضعیت تاهل:"
"ledig","مجرد"
"seit","از تاریخ"
"verheiratet","متاهل"
"verwitwet","بیوه"
"in Lebenspartnerschaft lebend","زندگی در یک رابطه مشترک"
"geschieden","مطلقه"
"dauernd getrennt lebend","مزدوج اما جدا از هم (بطور دائم)"
"Tragen Sie bitte nachstehend in der Reihenfolge der Geburten – mit dem ältesten Kind beginnend – die zu Ihrem Haushalt gehörenden Kinder ein, die Sie im Antrag auf Kindergeld/Fragebogen aufgeführt haben.","لطفا کودکانی را که در خانه شما سکونت دارند و نامشان را در تقاضانامه تان برای کمک هزینه کودک/ پرسشنامه ذکر کرده اید، به ترتیب تاریخ تولد – ابتدا بزرگترین کودک را نام ببرید – در زیر بنویسید."
"Zu meinem Haushalt unter der oben angegebenen Anschrift gehören folgende Kinder:","کودکان زیر درخانه ام که در آدرس بالا ذکر شده، سکونت دارند:"
"lfd. Nr.","شماره سری"
"Name und Vorname des Kindes","نام خانوادگی و نام کودک"
"geboren am","متولد"
"Haushaltsaufnahme am","تاریخ سکونت در خانه"
"In Deutschland seit *)","تاریخ ورود به آلمان *)"
"*) Nur sofern ein Zuzug aus dem Ausland erfolgte, ist hier anzugeben, seit wann sich das Kind ununterbrochen in Deutschland aufhält.","*) تنها در مواردی که کودک از خارج از آلمان آمده در اینجا بنویسید که از چه تاریخی به طور دائم در آلمان سکونت داشته است."
"(Datum)","(تاریخ)"
"(Unterschrift der kindergeldberechtigten Person)","(امضای فرد واجد شرایط دریافت کمک هزینه کودک)"
"Amtliche Bescheinigung der Angaben","تایید رسمی اظهارات"
"Es wird hiermit bescheinigt, dass die unter A genannte Person und die unter lfd. Nr. ... bis lfd. Nr. ... aufgeführten Kinder nach den hier vorhandenen Unterlagen bzw. Erkenntnissen wie angegeben gemeldet sind.","بدینوسیله گواهی می شود که شخص نامبرده در گزینه A وکودکانی که تحت شماره ....... تا .........  ذکر شده اند، بر اساس مدارک و اطلاعات ارائه شده در اینجا ثبت شده هستند.   "
"Bemerkungen:","ملاحظات:"
"Dienstsiegel oder Stempel","مهر و موم رسمی"
"(Unterschrift)","(امضا)"
"Hinweise","تذکرات"
"Kindergeld kann Ihnen grundsätzlich für die Kinder gezahlt werden, die zu Ihrem Haushalt gehören. Eine Haushaltszugehörigkeit liegt nur vor, wenn das Kind ständig in Ihrem Haushalt lebt, von Ihnen betreut und erzogen wird und aus den Mitteln Ihres Haushalts versorgt wird. Allein die bloße Anmeldung eines Kindes bei einer Meldebehörde führt nicht zur Haushaltszugehörigkeit. Während einer zeitweiligen auswärtigen Unterbringung zur Schul- oder Berufsausbildung bleibt eine bestehende Haushaltszugehörigkeit erhalten.","کمک هزینه کودک می تواند اصولا برای کودکانی که درخانه تان زندگی می کنند، پرداخت شود. Haushaltszugehörigkeit تنها زمانی ارائه می شود که کودک به طور دائم در خانه تان زندگی می کند، تحت مراقبت وتربیت شماست وازامکانات خانه شما استفاده می کند. ثبت کردن فرزند در اداره ثبت احوال به تنهایی ثابت نمی کند که او در خانه شما ساکن است. با این حال اگر فرزندتان برای کارآموزی یا تحصیل به طورموقت خارج از خانه تان زندگی می کند به عنوان فرد عضو خانواده در نظر گرفته می شود.  "
"Näheres finden Sie dazu im Merkblatt über Kindergeld.","جزئیات بیشتردر این رابطه را در دفترچه راهنمای مربوط به کمک هزینه کودک جستجوکنید."
"Das Vorhandensein der Kinder und ihre Zugehörigkeit zum Haushalt sind amtlich nachzuweisen. Diesem Zweck dient die umseitige Haushaltsbescheinigung.","وجود کودکان و تعلق آنان به محل سکونت شما باید به طور رسمی و اداری اثبات شود. گواهی Haushaltszugehörigkeit در صفحه بعد بدین منظور است.  "
"Füllen Sie deshalb bitte den Abschnitt A gut leserlich aus. Im Abschnitt B sind Ihre Angaben durch die zuständige Meldebehörde (Einwohnermeldeamt) oder eine andere öffentliche Stelle zu bescheinigen und mit dem Dienstsiegel oder Dienststempel zu versehen.","برای همین لطفا بخش A را خوانا پر کنید. در بخش B اظهارات شما از طریق اداره ثبت مربوطه (حوزه ثبت نام ساکنین منطقه) و یا نهاد دولتی دیگری تایید ومُهرمی شوند.    "
"Haben Sie Kinder in Ihrem Antrag auf Kindergeld aufgeführt, die dauerhaft (nicht nur vorübergehend) außerhalb Ihres Haushaltes leben, reichen Sie bitte eine »Lebensbescheinigung« (KG 3b) ein. Falls solche Kinder in Schul- oder Berufsausbildung stehen, kann anstelle einer Lebensbescheinigung auch eine Schul- oder Ausbildungsbescheinigung eingereicht werden, die jedoch nicht älter als sechs Monate sein darf. Die entsprechenden Bescheinigungsvordrucke erhalten Sie bei Ihrer Familienkasse.","اگراز بین فرزندانی که درتقاضانامه تان برای کمک هزینه کودک نام برده اید، کسانی هستند که به طور دائم ( نه به طور موقت) خارج ازخانه تان زندگی می کنند، لطفا یک Lebensbescheinigung (KG 3b) ارائه دهید. اگر این فرزندان درحال گذراندن آموزش حرفه ای یا تحصیلی هستند، می توان به جای Lebensbescheinigung یک گواهی تحصیلی یا حرفه ای ارائه داد که قدیمی تراز شش ماه نباشند. فرم گواهی مربوطه را می توانید از صندوق حمایت از خانواده دریافت کنید."
